Date,REER,Oil_price,FDI,Poverty_rate,GDP_Construction,Year,Month,Nights,is_covid,Arrivals,Total_Receipts_MDH
2004-01-01,106.986145,29.931208791208796,893325400.0,12.0,,2004,1,,0,372695.85618337954,3114.4315790542214
2004-02-01,106.73713580601093,31.692417582417583,959160955.4644808,11.915300546448089,,2004,2,,0,409057.0595178654,2973.139964467466
2004-03-01,106.50419172131149,33.34,1020749055.7377048,11.836065573770492,,2004,3,,0,406296.9016648306,3739.702626238616
2004-04-01,106.2551825273224,32.59,1086584611.202186,11.75136612021858,,2004,4,,0,453396.3784790907,4018.6523939949366
2004-05-01,106.01420588797814,35.76704918032787,1150296439.0710382,11.669398907103826,,2004,5,,0,415176.99668381654,3449.6343085306044
2004-06-01,105.76519669398908,39.05,1216131994.5355191,11.584699453551911,,2004,6,,0,492842.8666870548,4303.526344110864
2004-07-01,105.5242200546448,35.58,1279843822.4043715,11.502732240437158,,2004,7,,0,850598.4492551566,4804.078473798137
2004-08-01,105.27521086065572,38.27,1345679377.8688524,11.418032786885243,,2004,8,,0,559931.4351970087,4550.82242535653
2004-09-01,105.02620166666668,40.96,1411514933.3333333,11.333333333333334,,2004,9,,0,390070.531986368,3899.0564261216273
2004-10-01,104.7852250273224,46.86,1475226761.2021856,11.25136612021858,,2004,10,,0,470707.64069927484,3781.2293718644637
2004-11-01,104.53621583333332,46.84,1541062316.6666665,11.166666666666666,,2004,11,,0,410571.03972774604,3500.9098346944743
2004-12-01,104.29523919398906,41.19,1604774144.5355191,11.084699453551911,,2004,12,,0,472505.385702565,2621.8969670385204
2005-01-01,104.04623,43.155,1670609700.0,11.0,,2005,1,,0,394401.9663691912,3707.1243391794646
2005-02-01,104.08759928767122,45.12,1737720665.7534246,10.915068493150685,,2005,2,,0,426736.0192989718,3427.494225908622
2005-03-01,104.1249650958904,50.47,1798337021.9178083,10.838356164383562,,2005,3,,0,390725.85426879075,3536.452496105752
2005-04-01,104.16633438356163,54.14,1865447987.671233,10.753424657534246,,2005,4,,0,485572.8410456739,4914.246303516076
2005-05-01,104.20636917808218,52.33016393442623,1930394083.561644,10.67123287671233,,2005,5,,0,473846.64251145173,4903.285856245038
2005-06-01,104.24773846575344,50.46,1997505049.3150685,10.586301369863014,,2005,6,,0,596812.2700878666,6830.873558662219
2005-07-01,104.28777326027397,56.41,2062451145.2054796,10.504109589041096,,2005,7,,0,908455.1626472465,5838.963227983733
2005-08-01,104.3291425479452,60.56,2129562110.958904,10.41917808219178,,2005,8,,0,626565.1750938102,6152.949472906575
2005-09-01,104.37051183561644,66.79,2196673076.712329,10.334246575342464,,2005,9,,0,416096.8798528287,4725.153657531684
2005-10-01,104.410546630137,61.822786885245904,2261619172.60274,10.252054794520548,,2005,10,,0,461848.45673916553,3779.9217964338245
2005-11-01,104.45191591780822,56.69,2328730138.3561645,10.167123287671233,,2005,11,,0,420956.27393378597,3903.834991621621
2005-12-01,104.49195071232876,53.65,2393676234.246576,10.084931506849315,,2005,12,,0,514800.26183971734,3326.342562778134
2006-01-01,104.53332,59.645,2460787200.0,10.0,,2006,1,,0,451028.78946691647,4979.80467415154
2006-02-01,104.45491293150684,65.64,2491788414.520548,9.906575342465754,,2006,2,,0,456626.2042982168,3960.2617487362636
2006-03-01,104.3840936438356,61.12,2519789511.5068493,9.822191780821916,,2006,3,,0,512796.29464315885,6545.69826440192
2006-04-01,104.30568657534246,67.34540983606557,2550790726.027397,9.728767123287671,,2006,4,,0,505480.042927336,5313.384929198443
2006-05-01,104.22980876712327,73.37,2580791901.369863,9.63835616438356,,2006,5,,0,541833.2224631674,6589.483794358962
2006-06-01,104.15140169863014,68.77,2611793115.890411,9.544931506849316,,2006,6,,0,657719.9265668779,8483.532905884527
2006-07-01,104.07552389041096,72.51754098360655,2641794291.232877,9.454520547945206,,2006,7,,0,973667.2615560181,6767.966902271997
2006-08-01,103.9971168219178,76.39,2672795505.7534246,9.36109589041096,,2006,8,,0,669863.8126357663,7110.559523607291
2006-09-01,103.91870975342466,70.49,2703796720.2739725,9.267671232876712,,2006,9,,0,467043.5168070467,6096.752515065718
2006-10-01,103.84283194520548,63.545737704918025,2733797895.6164384,9.177260273972603,,2006,10,,0,532590.0130372246,5204.358832664223
2006-11-01,103.76442487671233,56.37,2764799110.1369863,9.083835616438355,,2006,11,,0,411556.20952239184,3672.8329318294905
2006-12-01,103.68854706849316,64.74,2794800285.479452,8.993424657534247,,2006,12,,0,555810.5350049555,3939.808633565517
2007-01-01,103.61014,60.74,2825801500.0,8.9,,2007,1,,0,468324.04611491476,4884.305656571683
2007-02-01,103.58799750684932,56.74,2795267510.6849318,8.866027397260273,,2007,2,,0,555144.852944583,5562.132040068422
2007-03-01,103.56799783561644,61.18,2767688423.561644,8.835342465753424,,2007,3,,0,521489.2968645018,6156.194037093288
2007-04-01,103.54585534246576,64.34098360655737,2737154434.246576,8.801369863013699,,2007,4,,0,662258.9711426253,8814.945075894508
2007-05-01,103.52442712328768,67.4,2707605412.328768,8.768493150684932,,2007,5,,0,576078.4087689538,6823.757942769299
2007-06-01,103.50228463013698,68.65,2677071423.0136986,8.734520547945205,,2007,6,,0,665358.2886660077,7962.6307113501625
2007-07-01,103.4808564109589,72.81065573770492,2647522401.0958905,8.701643835616439,,2007,7,,0,1207695.6688409995,9936.302814505405
2007-08-01,103.45871391780824,77.11,2616988411.780822,8.667671232876712,,2007,8,,0,736069.6461810517,7902.367628462573
2007-09-01,103.43657142465752,77.73,2586454422.4657536,8.633698630136987,,2007,9,,0,533983.0811214981,7440.7214150309865
2007-10-01,103.41514320547944,78.33,2556905400.547945,8.600821917808219,,2007,10,,0,659462.85976975,7568.513989935629
2007-11-01,103.39300071232876,90.36,2526371411.232877,8.566849315068493,,2007,11,,0,466281.53705353494,4388.9714662580145
2007-12-01,103.37157249315068,90.70239130434784,2496822389.315068,8.533972602739727,,2007,12,,0,635121.5861979852,4802.518769998388
2008-01-01,103.34943,91.05619565217393,2466288400.0,8.5,,2008,1,,0,532829.6975128062,6071.860258976949
2008-02-01,103.47380013661204,91.41,2424280486.3387976,8.457650273224044,,2008,2,,0,600379.8972886023,6138.49611957928
2008-03-01,103.59014639344262,94.92866666666666,2384982760.655738,8.418032786885245,,2008,3,,0,546966.0255814951,6332.371942298369
2008-04-01,103.71451653005464,98.69,2342974846.9945354,8.37568306010929,,2008,4,,0,614871.984161823,6913.263144748663
2008-05-01,103.83487472677596,107.3,2302322027.3224044,8.334699453551913,,2008,5,,0,654322.6388789468,8428.9332865996
2008-06-01,103.95924486338798,124.25852459016392,2260314113.661202,8.292349726775956,,2008,6,,0,730795.0941443136,9109.820386448462
2008-07-01,104.07960306010928,140.67,2219661293.989071,8.251366120218579,,2008,7,,0,1253670.0869706396,10030.742179528337
2008-08-01,104.20397319672132,124.16,2177653380.327869,8.209016393442623,,2008,8,,0,848193.2461253582,10122.92947186908
2008-09-01,104.32834333333334,107.91295081967212,2135645466.6666665,8.166666666666666,,2008,9,,0,544524.3368887587,7193.224065601757
2008-10-01,104.44870153005463,92.19,2094992646.9945357,8.12568306010929,,2008,10,,0,668629.3304311119,7267.822301423037
2008-11-01,104.57307166666666,69.51934426229508,2052984733.3333333,8.083333333333334,,2008,11,,0,546518.5997196303,5867.814845752269
2008-12-01,104.69342986338798,47.58,2012331913.6612024,8.042349726775956,,2008,12,,0,647874.7237570693,4645.1703152524
2009-01-01,104.8178,47.15471074380165,1970324000.0,8.0,,2009,1,,0,605240.7372959823,6378.126100354411
2009-02-01,104.40861698630135,46.7294214876033,1908349640.8219175,7.957534246575342,,2009,2,,0,624355.8217070908,5343.314786487159
2009-03-01,104.03903232876712,46.34528925619835,1852372800.2739725,7.919178082191781,,2009,3,,0,578436.2790337021,5719.93420728281
2009-04-01,103.6298493150685,45.92,1790398441.0958903,7.876712328767123,,2009,4,,0,714909.2147442716,7764.904904082997
2009-05-01,103.23386575342468,51.75,1730423254.7945206,7.835616438356165,,2009,5,,0,641664.5621226482,6406.242854672967
2009-06-01,102.82468273972604,66.6,1668448895.6164384,7.793150684931507,,2009,6,,0,789031.1434908066,8603.687457063601
2009-07-01,102.4286991780822,68.52,1608473709.3150685,7.752054794520548,,2009,7,,0,1380032.7083953752,9873.758651468856
2009-08-01,102.01951616438356,68.65,1546499350.1369865,7.70958904109589,,2009,8,,0,845268.7214059136,7981.513435017735
2009-09-01,101.61033315068494,68.78,1484524990.9589045,7.667123287671233,,2009,9,,0,621667.6910481651,7705.164058115691
2009-10-01,101.21434958904108,67.12,1424549804.657534,7.626027397260274,,2009,10,,0,711529.195249368,6652.336701005263
2009-11-01,100.80516657534248,72.99475409836066,1362575445.479452,7.583561643835616,,2009,11,,0,591140.556555956,5563.48130120427
2009-12-01,100.40918301369862,78.68,1302600259.1780822,7.542465753424658,,2009,12,,0,772855.5315773956,5454.220391462874
2010-01-01,100.0,75.13,1240625900.0,7.5,,2010,1,,0,617723.4117291267,5289.2429587992065
2010-02-01,99.78772049315069,71.58,1349400763.8356164,7.38958904109589,,2010,2,,0,662246.1231709443,4780.612468608469
2010-03-01,99.59598416438357,76.07,1447649027.9452057,7.28986301369863,,2010,3,,0,661375.6064689056,6080.969829701063
2010-04-01,99.38370465753424,82.63,1556423891.7808218,7.17945205479452,,2010,4,,0,749467.3419166598,6768.487714914699
2010-05-01,99.17827287671231,77.93327868852458,1661689889.041096,7.072602739726028,,2010,5,,0,755370.0245427749,7278.917422256173
2010-06-01,98.965993369863,73.08,1770464752.8767123,6.962191780821918,,2010,6,,0,869984.7870271845,8421.823033694714
2010-07-01,98.76056158904107,71.73,1875730750.1369865,6.8553424657534245,,2010,7,,0,1491177.8459851933,9255.873987041217
2010-08-01,98.54828208219178,73.63,1984505613.9726028,6.744931506849316,,2010,8,,0,1030639.5690265982,9783.715535162051
2010-09-01,98.33600257534246,75.53,2093280477.8082192,6.634520547945206,,2010,9,,0,669268.6950574798,7156.974625645888
2010-10-01,98.13057079452057,82.69,2198546475.068493,6.527671232876712,,2010,10,,0,840652.1278434575,7552.841543303358
2010-11-01,97.91829128767124,84.06,2307321338.904109,6.417260273972603,,2010,11,,0,631995.6696977686,5082.698763815221
2010-12-01,97.71285950684933,88.56,2412587336.164384,6.31041095890411,,2010,12,,0,901918.816060273,6002.43031264899
2011-01-01,97.50058,94.48,2521362200.0,6.2,,2011,1,,0,646142.8226556124,6459.691057996736
2011-02-01,97.32067978082192,100.4,2548590570.1369863,6.166027397260274,,2011,2,,0,660974.1244647227,5256.393666807626
2011-03-01,97.15818926027396,113.34,2573183936.712329,6.135342465753425,,2011,3,,0,657470.5152171324,6621.400049665176
2011-04-01,96.97828904109588,118.63,2600412306.849315,6.101369863013699,,2011,4,,0,801022.5035019073,8699.45186371535
2011-05-01,96.80419205479453,117.41032786885246,2626762342.4657536,6.068493150684931,,2011,5,,0,752470.1160874082,7972.585813817946
2011-06-01,96.62429183561645,116.15,2653990712.60274,6.034520547945205,,2011,6,,0,888306.4990605445,9740.57137032766
2011-07-01,96.45019484931508,109.82,2680340748.219178,6.001643835616439,,2011,7,,0,1510089.0594694694,10516.49456401473
2011-08-01,96.270294630137,116.37,2707569118.3561645,5.967671232876713,,2011,8,,0,990790.1882481772,9914.122418291514
2011-09-01,96.09039441095892,116.43,2734797488.4931507,5.933698630136986,,2011,9,,0,643591.8460623915,7224.051961360671
2011-10-01,95.91629742465754,111.77754098360656,2761147524.109589,5.900821917808219,,2011,10,,0,730399.0119539321,6067.129439948141
2011-11-01,95.73639720547943,106.97,2788375894.246576,5.866849315068493,,2011,11,,0,628426.6746721779,5542.7207201676465
2011-12-01,95.56230021917808,108.83,2814725929.8630137,5.833972602739726,,2011,12,,0,832867.2410978425,5637.759749886575
2012-01-01,95.3824,110.395,2841954300.0,5.8,,2012,1,,0,636651.6488574602,5774.551937266499
2012-02-01,95.52035169398908,111.96,2885909547.26776,5.774590163934426,,2012,2,,0,651076.8107534238,4675.953678713606
2012-03-01,95.64940327868852,125.76,2927028972.1311474,5.750819672131147,,2012,3,,0,702428.1904546912,7121.787329954013
2012-04-01,95.7873549726776,122.61426229508196,2970984219.398907,5.725409836065573,,2012,4,,0,801097.2640077377,8035.013929271106
2012-05-01,95.92085661202186,119.57,3013521555.464481,5.700819672131147,,2012,5,,0,731625.22238171,6891.6384554645065
2012-06-01,96.05880830601092,98.63,3057476802.7322407,5.675409836065573,,2012,6,,0,869131.6100833956,8574.6710070585
2012-07-01,96.1923099453552,102.63819672131147,3100014138.7978144,5.650819672131147,,2012,7,,0,1487449.0005815106,9391.11242682697
2012-08-01,96.33026163934429,106.78,3143969386.0655737,5.6254098360655735,,2012,8,,0,943803.4581862553,8166.375443464411
2012-09-01,96.46821333333334,109.72754098360656,3187924633.333333,5.6,,2012,9,,0,685851.6001221315,7710.5565544024585
2012-10-01,96.6017149726776,112.58,3230461969.398907,5.575409836065574,,2012,10,,0,813227.5858849677,7187.181896052035
2012-11-01,96.73966666666666,108.84,3274417216.6666665,5.55,,2012,11,,0,679064.767163936,6073.737111208439
2012-12-01,96.87316830601094,111.02804347826088,3316954552.7322407,5.525409836065574,,2012,12,,0,844446.0053132891,5363.026891392233
2013-01-01,97.01112,113.28902173913043,3360909800.0,5.5,,2013,1,,0,619250.7708673886,4635.352720124528
2013-02-01,97.01696073972604,115.55,3374878901.0958905,5.44054794520548,,2013,2,,0,696301.3282411458,4690.847122780489
2013-03-01,97.02223624657536,110.14,3387496153.6986303,5.386849315068493,,2013,3,,0,751626.4382132404,7129.140579376448
2013-04-01,97.02807698630136,108.76,3401465254.7945204,5.3273972602739725,,2013,4,,0,848531.9592156901,7864.485656805741
2013-05-01,97.0337293150685,98.34,3414983739.7260275,5.26986301369863,,2013,5,,0,824629.701961819,7774.532089512379
2013-06-01,97.03957005479452,100.80475409836066,3428952840.821918,5.210410958904109,,2013,6,,0,1077327.532360563,11553.235251642163
2013-07-01,97.04522238356164,103.19,3442471325.7534246,5.152876712328767,,2013,7,,0,1604659.6782641977,9572.078747537553
2013-08-01,97.05106312328768,109.94,3456440426.849315,5.093424657534246,,2013,8,,0,1109401.7638119843,10115.12909553342
2013-09-01,97.0569038630137,108.60852459016392,3470409527.9452057,5.033972602739726,,2013,9,,0,742507.200784918,7911.256443371786
