Date,REER,Oil_price,FDI,Poverty_rate,GDP_Construction,Year,Month,Nights,is_covid,Arrivals,Total_Receipts_MDH,lags_1,lags_2,lags_6,lags_12,roll_mean_3,roll_std_3,roll_mean_6,roll_std_6,roll_mean_12,roll_std_12,growth_yoy,month,year,quarter,month_sin,month_cos,saison_1,saison_2,saison_3,is_summer,is_high_season,is_vacances,jours_feries_count,is_ramadan,is_special_event,Oil_price_lag1,Oil_price_lag3,FDI_lag1,FDI_lag3,Poverty_rate_lag1,Poverty_rate_lag3,GDP_Construction_lag1,GDP_Construction_lag3,REER_lag1,REER_lag3,TSI,TSI_lag1,TSI_lag3,cdm_event,anomaly_zscore,anomaly_iforest,anomaly_prophet
1998-03-01,112.25842231232878,14.81909090909091,392485991.6712329,16.2,,1998,3,,0,218641.7393509109,1393.227985946358,231475.47264366,203917.3812385401,235234.856160519,208065.27375696148,226398.65319559517,20421.761085335038,230093.21781307505,19479.12222571818,260461.83470965107,70049.03826897382,12.988284350734492,3,1998,1,1.0,6.123233995736766e-17,1,0,0,0,0,0,0,0,0,15.811818181818182,18.01,352728919.01369864,374162854.0821917,16.2,16.183013698630138,,,112.25862053698631,112.01137506849317,57.9,56.28,58.07,0,0,0,0
1998-04-01,112.25820284931508,13.72,436502750.6849315,16.2,,1998,4,,0,266123.16896139964,1828.3051664633733,218641.7393509109,231475.47264366,255178.09283287264,249297.7160497052,218011.53107770366,13789.85033725702,227327.69834480702,19778.73777529613,261343.2068424802,69393.30879493197,5.083244023845934,4,1998,2,0.8660254037844387,-0.4999999999999998,1,0,0,0,1,0,0,0,0,14.81909090909091,16.910909090909094,392485991.6712329,308712160.0,16.2,16.2,,,112.25842231232878,112.25884,61.74,57.9,61.67,0,0,0,0
1998-05-01,112.25799046575342,14.6,479099614.24657536,16.2,,1998,5,,0,246630.92998304218,1623.1037084559362,266123.16896139964,218641.7393509109,210950.39829827312,236840.61761420558,238746.7936519902,24561.66975937473,229151.87769956156,23088.83117540504,262745.3279184547,69297.71557816568,6.749140416649374,5,1998,2,0.49999999999999994,-0.8660254037844387,1,0,0,0,1,0,1,0,0,13.72,15.811818181818182,436502750.6849315,352728919.01369864,16.2,16.2,,,112.25820284931508,112.25862053698631,63.13,61.74,56.28,0,0,0,0
1998-06-01,112.25777100273972,13.66,523116373.26027393,16.2,,1998,6,,0,282686.0062791014,1860.1590727663615,246630.92998304218,266123.16896139964,243803.10570458538,285377.1660646653,243798.61276511758,23867.09146672797,235098.63298035637,22034.112876841336,263561.1872825244,69022.09100565773,4.13371340923635,6,1998,2,1.2246467991473532e-16,-1.0,0,1,0,1,0,0,0,0,0,14.6,14.81909090909091,479099614.24657536,392485991.6712329,16.2,16.2,,,112.25799046575342,112.25842231232878,61.74,63.13,57.9,0,0,0,0
1998-07-01,112.25755861917808,11.93,565713236.8219178,16.2,,1998,7,,0,478637.5325608809,1986.7255773585873,282686.0062791014,246630.92998304218,203917.3812385401,462108.97393429425,265146.7017411811,18047.361243483185,241579.1164094424,29544.27494648069,263336.92396706075,68949.09700624297,-0.9430186103095848,7,1998,3,-0.4999999999999997,-0.8660254037844388,0,1,0,1,1,1,1,0,0,13.66,13.72,523116373.26027393,436502750.6849315,16.2,16.2,,,112.25777100273972,112.25820284931508,61.05,61.74,61.74,0,0,1,1
1998-08-01,112.25733915616438,12.02,609729995.8356164,16.2,,1998,8,,0,361714.4091168863,2550.6445390921745,478637.5325608809,282686.0062791014,231475.47264366,303292.96221753047,335984.8229410082,124849.26432741787,287365.80829649913,96502.93296988434,264714.30385260965,73308.2011201791,3.57676642499844,8,1998,3,-0.8660254037844385,-0.5000000000000004,0,1,0,1,1,1,3,0,0,11.93,14.6,565713236.8219178,479099614.24657536,16.2,16.2,,,112.25755861917808,112.25799046575342,60.62,61.05,63.13,0,0,0,0
1998-09-01,112.25711969315068,12.11,653746754.849315,16.2,,1998,9,,0,223923.65493779638,1688.0898047793548,361714.4091168863,478637.5325608809,218641.7393509109,235234.856160519,374345.98265228956,98584.57105716366,309072.29770870355,96063.55717742219,269582.7577608893,77899.29471311132,19.262381320096146,9,1998,3,-1.0,-1.8369701987210297e-16,0,0,1,0,0,0,0,0,0,12.02,13.66,609729995.8356164,523116373.26027393,16.2,16.2,,,112.25733915616438,112.25777100273972,57.71,60.62,61.74,0,0,0,0
1998-10-01,112.25690730958904,14.46,696343618.4109589,16.2,,1998,10,,0,249700.78111563402,1365.8758109193534,223923.65493779638,361714.4091168863,266123.16896139964,255178.09283287264,354758.5322051879,127499.32561058877,309952.61697318446,95088.37026332952,268640.15765899577,78419.39386264893,-4.808471587647755,10,1998,4,-0.8660254037844386,0.5000000000000001,0,0,1,0,1,0,0,0,0,12.11,11.93,653746754.849315,565713236.8219178,16.2,16.2,,,112.25711969315068,112.25755861917808,59.64,57.71,61.05,0,0,0,0
1998-11-01,112.25668784657532,12.127377049180328,740360377.4246576,16.2,,1998,11,,0,222988.07270206616,1348.4076094808797,249700.78111563402,223923.65493779638,246630.92998304218,210950.39829827312,278446.2817234389,73255.03967786497,307215.55233222357,96822.83291742181,268183.7150158926,78520.74849563884,-2.146466280248422,11,1998,4,-0.5000000000000004,0.8660254037844384,0,0,1,0,0,0,2,0,0,14.46,12.02,696343618.4109589,609729995.8356164,16.2,16.2,,,112.25690730958904,112.25733915616438,60.32,59.64,60.62,0,0,0,0
1998-12-01,112.25647546301369,9.87,782957240.9863014,16.2,,1998,12,,0,251305.27271664602,950.8386534350931,222988.07270206616,249700.78111563402,282686.0062791014,243803.10570458538,232204.16958516554,15159.729213149925,303275.07611872756,100203.7051347861,269186.85454954195,77796.6495317594,5.706400414931843,12,1998,4,-2.4492935982947064e-16,1.0,0,0,0,0,1,1,0,1,0,12.127377049180328,12.11,740360377.4246576,653746754.849315,16.2,16.2,,,112.25668784657532,112.25711969315068,64.15,60.32,57.71,0,0,0,0
