Date,InterTourismeReceipts,REER,Oil_price,FDI,Poverty_rate,GDP_Construction,Year,Month,Nights,is_covid,Arrivals,Total_Receipts_MDH
1999-09-01,2245572602.739726,113.98496732054794,21.1,560392534.3561645,15.933698630136986,,1999,9,,0,299499.48911832785,1676.1317052954014
1999-10-01,2254038356.1643834,114.19838847123287,22.98,527481242.30136985,15.90082191780822,,1999,10,,0,342402.53193539265,1529.7302076939902
1999-11-01,2262786301.369863,114.41892366027398,21.32,493472907.17808217,15.866849315068494,,1999,11,,0,287980.18442786083,1293.2580354386878
1999-12-01,2271252054.7945204,114.6323448109589,24.2,460561615.1232877,15.833972602739726,,1999,12,,0,343200.2027206953,1179.5748476765182
2000-01-01,2280000000.0,114.85288,25.775,426553280.0,15.8,,2000,1,,0,321851.1005721328,1473.5028609036772
2000-02-01,2338103825.136612,114.45946713114752,27.35,629662910.1092896,15.757650273224044,,2000,2,,0,299411.0001075318,1564.4509659477405
2000-03-01,2392459016.3934426,114.09143573770493,29.78,819668693.1147542,15.718032786885246,,2000,3,,0,311694.4574497353,1283.5905631661892
2000-04-01,2450562841.5300546,113.69802286885246,29.74967391304348,1022778323.2240436,15.675683060109291,,2000,4,,0,357451.21649787674,2236.3450261024013
2000-05-01,2506792349.726776,113.31730073770493,29.72032608695652,1219336029.7814207,15.634699453551914,,2000,5,,0,341753.51624794747,1940.7516237903642
2000-06-01,2564896174.863388,112.92388786885246,29.69,1422445659.8907104,15.592349726775955,,2000,6,,0,397280.4929262785,2068.5953987589673
2000-07-01,2621125683.060109,112.54316573770492,27.501475409836065,1619003366.4480877,15.55136612021858,,2000,7,,0,697138.0155073197,2533.4349809106648
2000-08-01,2679229508.196721,112.14975286885246,25.24,1822112996.557377,15.509016393442623,,2000,8,,0,451301.8597997268,2839.108724135692
2000-09-01,2737333333.333333,111.75634,35.09,2025222626.6666667,15.466666666666669,,2000,9,,0,300959.1280642167,1999.7269219661337
2000-10-01,2793562841.5300546,111.37561786885246,33.383442622950824,2221780333.224044,15.425683060109291,,2000,10,,0,334332.9473107744,1769.9077887829108
2000-11-01,2851666666.6666665,110.982205,31.62,2424889963.333333,15.383333333333336,,2000,11,,0,281366.5575609563,1546.434953944223
2000-12-01,2907896174.863388,110.60148286885249,31.59,2621447669.8907104,15.342349726775955,,2000,12,,0,381555.6589884531,1142.1476738762167
2001-01-01,2966000000.0,110.20807,29.380000000000003,2824557300.0,15.3,,2001,1,,0,306628.03134006803,1509.6613391209378
2001-02-01,2982221917.808219,110.16582124657536,27.17,2625460725.7534246,15.189589041095893,,2001,2,,0,320848.5147945333,1600.1660425519776
2001-03-01,2996873972.60274,110.12766108219178,24.76,2445631561.917808,15.089863013698633,,2001,3,,0,329265.7764461693,2589.17831237006
2001-04-01,3013095890.410959,110.08541232876712,26.055901639344263,2246534987.6712327,14.97945205479452,,2001,4,,0,383220.95317081164,2855.108659450204
2001-05-01,3028794520.547945,110.04452643835616,27.31,2053860883.561644,14.872602739726029,,2001,5,,0,341522.4097221325,2278.5558448710904
2001-06-01,3045016438.3561645,110.00227768493151,28.86,1854764309.315068,14.76219178082192,,2001,6,,0,418211.97605492675,3219.4944824997133
2001-07-01,3060715068.4931507,109.96139179452057,26.58295081967213,1662090205.2054794,14.655342465753424,,2001,7,,0,665163.5488177659,3071.9937904855033
2001-08-01,3076936986.3013697,109.9191430410959,24.23,1462993630.958904,14.544931506849316,,2001,8,,0,450307.35262987006,3530.3734100654233
2001-09-01,3093158904.109589,109.87689428767123,22.700327868852455,1263897056.712329,14.434520547945208,,2001,9,,0,304566.79042053665,2574.943517106055
2001-10-01,3108857534.246576,109.83600839726029,21.22,1071222952.6027396,14.327671232876712,,2001,10,,0,361396.1793252894,2478.2383701107474
2001-11-01,3125079452.0547943,109.7937596438356,19.39,872126378.3561642,14.217260273972602,,2001,11,,0,286889.80684619606,2102.5183764888875
2001-12-01,3140778082.191781,109.75287375342464,19.49108695652174,679452274.2465751,14.11041095890411,,2001,12,,0,365714.90788142325,1626.0478174522084
2002-01-01,3157000000.0,109.710625,19.59554347826087,480355700.0,14.0,,2002,1,,0,307324.5662290383,2231.1060582767313
2002-02-01,3211780821.917808,109.64059175342464,19.7,635990478.0821917,13.915068493150685,,2002,2,,0,324483.11491007905,1928.1178903823961
2002-03-01,3261260273.972603,109.5773359178082,21.83,776563826.0273973,13.838356164383562,,2002,3,,0,326807.5876740158,2386.603244230052
2002-04-01,3316041095.890411,109.50730267123286,26.06,932198604.1095892,13.753424657534246,,2002,4,,0,376776.74151664664,2982.580790308508
2002-05-01,3369054794.520548,109.43952856164384,26.67,1082812905.479452,13.67123287671233,,2002,5,,0,374560.54631265916,2810.8039417001005
2002-06-01,3423835616.4383564,109.36949531506848,26.151639344262296,1238447683.5616438,13.586301369863014,,2002,6,,0,395841.29370062245,3353.525870958474
2002-07-01,3476849315.068493,109.30172120547944,25.65,1389061984.9315069,13.504109589041096,,2002,7,,0,653289.002388967,3608.7988148174463
2002-08-01,3531630136.9863014,109.2316879589041,25.79,1544696763.0136986,13.41917808219178,,2002,8,,0,492139.97327731625,4021.1946862984387
2002-09-01,3586410958.904109,109.16165471232875,27.634754098360656,1700331541.0958903,13.334246575342464,,2002,9,,0,334170.72395205626,2995.0681932797584
2002-10-01,3639424657.5342464,109.09388060273972,29.42,1850945842.4657533,13.252054794520548,,2002,10,,0,376975.5059314552,2088.8086244199576
2002-11-01,3694205479.452055,109.02384735616438,25.78,2006580620.5479453,13.167123287671233,,2002,11,,0,305865.8399852641,1583.2124300113157
2002-12-01,3747219178.082192,108.95607324657534,26.209139072847684,2157194921.9178085,13.084931506849315,,2002,12,,0,353714.54399077955,1668.7068088822202
