Date,Arrivals,lags_1,lags_2,lags_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_3,roll_std_6,roll_std_12,growth_yoy,month_sin,month_cos,quarter,year,saison_1,saison_2,saison_3,Oil_price_lag1,FDI_lag1,Poverty_rate_lag1,REER_lag1,is_covid,cdm_event
2003-02-01,301260.0,301260.0,235450.0,282540.0,273083.3333333333,364143.3333333333,393976.6666666667,33908.85479241862,119389.46296330626,107152.7858487661,6.625610533021874,0.8660254037844386,0.5000000000000001,1,2003,False,False,False,26.65258278145696,2312829700.0,13.0,108.88604,0,0
2003-03-01,401680.0,301260.0,301260.0,376720.0,279323.3333333333,320173.3333333333,395536.6666666667,37995.421215369235,68187.7166846542,105506.55346585081,6.625610533021874,1.0,6.123233995736766e-17,1,2003,True,False,False,27.096026490066222,2192269060.821918,12.915068493150685,108.72467905479452,0,0
2003-04-01,451890.0,401680.0,301260.0,423810.0,334733.3333333333,316485.0,397616.6666666667,57977.51403202213,61755.93696155861,105347.78673373723,6.625610533021874,0.8660254037844387,-0.4999999999999998,2,2003,True,False,False,27.49655629139073,2083375580.2739725,12.838356164383562,108.5789336849315,0,0
2003-05-01,451890.0,451890.0,401680.0,423810.0,384943.3333333333,329013.3333333333,399956.6666666667,76697.04188124413,81035.15623892305,106290.13238501613,6.625610533021874,0.49999999999999994,-0.8660254037844387,2,2003,True,False,False,27.94,1962814941.0958903,12.753424657534246,108.41757273972604,0,0
2003-06-01,502100.0,451890.0,451890.0,470900.0,435153.3333333333,357238.3333333333,402296.6666666667,28988.75701601073,90545.55039683991,107168.47274975586,6.625610533021874,1.2246467991473532e-16,-1.0,2,2003,False,True,False,23.79,1846143354.7945209,12.67123287671233,108.26141698630136,0,0
2003-07-01,602520.0,502100.0,451890.0,565080.0,468626.6666666667,401680.0,404896.6666666667,28988.75701601067,84017.39986455199,109340.61254408247,6.625610533021874,-0.4999999999999997,-0.8660254037844388,3,2003,False,True,False,26.097213114754098,1725582715.6164384,12.586301369863014,108.10005604109588,0,0
2003-08-01,602520.0,602520.0,502100.0,565080.0,518836.6666666667,451890.0,408016.6666666667,76697.04188124406,100420.00000000016,114728.34866709623,6.625610533021874,-0.8660254037844384,-0.5000000000000004,3,2003,False,True,False,28.33,1608911129.3150685,12.504109589041096,107.94390028767124,0,0
2003-09-01,451890.0,602520.0,602520.0,423810.0,569046.6666666666,502100.0,411136.6666666667,57977.51403202199,84017.39986455212,119785.55728189166,6.625610533021874,-1.0,-1.8369701987210297e-16,3,2003,False,False,True,29.63,1488350490.1369865,12.41917808219178,107.78253934246575,0,0
2003-10-01,401680.0,451890.0,602520.0,376720.0,552310.0,510468.3333333333,413476.6666666667,86966.27104803319,73907.11884972051,120328.67513858064,6.625610533021874,-0.8660254037844386,0.5000000000000001,4,2003,False,False,True,29.64,1367789850.9589045,12.334246575342464,107.62117839726028,0,0
2003-11-01,301260.0,401680.0,451890.0,282540.0,485363.3333333333,502100.0,415556.6666666667,104520.4498331944,84017.39986455212,119850.31674652528,6.625610533021874,-0.5000000000000004,0.8660254037844384,4,2003,False,False,True,27.98,1251118264.657534,12.252054794520548,107.4650226438356,0,0
2003-12-01,251050.0,301260.0,401680.0,235450.0,384943.3333333333,476995.0,417116.6666666667,76697.04188124405,117752.88765036735,118070.15397892083,6.625610533021874,-2.4492935982947064e-16,1.0,4,2003,False,False,False,28.07655737704918,1130557625.479452,12.167123287671233,107.30366169863014,0,0
2004-01-01,343920.0,251050.0,301260.0,301260.0,317996.6666666667,435153.3333333333,418416.6666666667,76697.04188124405,147814.2376994405,115955.02806404448,14.160525791674965,0.49999999999999994,0.8660254037844387,1,2004,False,False,False,28.17,1013886039.1780822,12.084931506849315,107.14750594520548,0,0
2004-02-01,343920.0,343920.0,251050.0,301260.0,298743.3333333333,392053.3333333333,421971.6666666667,46486.12086777413,125228.99371418219,112643.30927419718,14.160525791674965,0.8660254037844386,0.5000000000000001,1,2004,False,False,False,29.9312087912088,893325400.0,12.0,106.986145,0,0
2004-03-01,458560.0,343920.0,343920.0,401680.0,312963.3333333333,348953.3333333333,425526.6666666667,53618.519499640286,71114.61781284264,109104.93958764772,14.160525791674965,1.0,6.123233995736766e-17,1,2004,True,False,False,31.692417582417583,959160955.4644808,11.915300546448089,106.73713580601093,0,0
2004-04-01,515880.0,458560.0,343920.0,451890.0,382133.3333333333,350065.0,430266.6666666667,66187.4348598985,73070.77876962864,109210.26120065444,14.160525791674965,0.8660254037844387,-0.4999999999999998,2,2004,True,False,False,33.34,1020749055.7377048,11.836065573770492,106.50419172131149,0,0
2004-05-01,515880.0,515880.0,458560.0,451890.0,439453.3333333333,369098.3333333333,435599.1666666667,87557.74627828944,99351.4900576065,111891.40038921946,14.160525791674965,0.49999999999999994,-0.8660254037844387,2,2004,True,False,False,32.59,1086584611.202186,11.75136612021858,106.2551825273224,0,0
