Date,InterTourismeReceipts,REER,Oil_price,FDI,Poverty_rate,GDP_Construction
1989-09-01,1469000000.0,100.01062134246575,17.33,165769095.34246576,17.334246575342465,
1989-10-01,1469000000.0,99.60730052054795,18.264426229508196,165610214.52054796,17.252054794520546,
1989-11-01,1469000000.0,99.19053567123288,19.23,165446037.67123288,17.167123287671235,
1989-12-01,1469000000.0,98.78721484931508,18.68,165287156.84931508,17.084931506849315,
1990-01-01,1469000000.0,98.37045,19.63,165122980.0,17.0,
1990-02-01,1469000000.0,98.45511142465755,20.58,178061374.41095892,16.668767123287672,
1990-03-01,1469000000.0,98.53157980821918,19.33,189747666.13698632,16.36958904109589,
1990-04-01,1469000000.0,98.61624123287672,17.85622950819672,202686060.5479452,16.03835616438356,
1990-05-01,1469000000.0,98.69817164383562,16.43,215207087.39726028,15.717808219178082,
1990-06-01,1469000000.0,98.78283306849316,15.43,228145481.8082192,15.386575342465754,
1990-07-01,1469000000.0,98.86476347945207,17.64311475409836,240666508.65753424,15.066027397260275,
1990-08-01,1469000000.0,98.94942490410959,19.93,253604903.06849313,14.734794520547945,
1990-09-01,1469000000.0,99.03408632876713,29.595901639344262,266543297.47945207,14.403561643835616,
1990-10-01,1469000000.0,99.11601673972604,38.95,279064324.3287671,14.083013698630136,
1990-11-01,1469000000.0,99.20067816438356,35.65,292002718.739726,13.751780821917809,
1990-12-01,1469000000.0,99.28260857534246,30.807608695652174,304523745.5890411,13.431232876712329,
1991-01-01,1469000000.0,99.36727,25.803804347826087,317462140.0,13.1,
1991-02-01,1469000000.0,99.4100610410959,20.8,326380654.84931505,13.176438356164383,
1991-03-01,1469000000.0,99.44871101369863,19.33,334436087.6164383,13.245479452054795,
1991-04-01,1469000000.0,99.49150205479452,18.0,343354602.46575344,13.321917808219178,
1991-05-01,1469000000.0,99.53291273972603,19.7,351985423.2876712,13.395890410958904,
1991-06-01,1469000000.0,99.57570378082193,19.105409836065576,360903938.1369863,13.472328767123287,
1991-07-01,1469000000.0,99.61711446575343,18.53,369534758.9589041,13.546301369863013,
1991-08-01,1469000000.0,99.65990550684931,19.73,378453273.8082192,13.622739726027397,
1991-09-01,1469000000.0,99.70269654794521,20.451639344262293,387371788.65753424,13.69917808219178,
1991-10-01,1469000000.0,99.74410723287671,21.15,396002609.4794521,13.773150684931506,
1991-11-01,1469000000.0,99.7868982739726,22.53,404921124.3287671,13.849589041095891,
1991-12-01,1469000000.0,99.8283089589041,21.71092105263158,413551945.15068495,13.923561643835617,
1992-01-01,1469000000.0,99.8711,20.86453947368421,422470460.0,14.0,
1992-02-01,1469000000.0,100.10760882513661,20.01815789473684,428314351.3114754,14.042349726775956,
1992-03-01,1469000000.0,100.32885901639344,19.226381578947368,433781217.3770492,14.081967213114755,
1992-04-01,1469000000.0,100.56536784153006,18.38,439625108.6885246,14.12431693989071,
1992-05-01,1469000000.0,100.79424734972677,19.83,445280487.3770492,14.165300546448087,
1992-06-01,1469000000.0,101.03075617486338,20.9,451124378.6885246,14.207650273224044,
1992-07-01,1469000000.0,101.25963568306011,20.25,456779757.3770492,14.248633879781421,
1992-08-01,1469000000.0,101.49614450819672,20.064999999999998,462623648.6885246,14.290983606557377,
1992-09-01,1469000000.0,101.73265333333333,19.88,468467540.0,14.333333333333334,
1992-10-01,1469000000.0,101.96153284153006,20.28,474122918.6885246,14.37431693989071,
1992-11-01,1469000000.0,102.19804166666667,19.451639344262293,479966810.0,14.416666666666666,
1992-12-01,1469000000.0,102.4269211748634,18.65,485622188.6885246,14.457650273224044,
1993-01-01,1469000000.0,102.66343,18.6,491466080.0,14.5,
1993-02-01,1469000000.0,102.94124690410959,18.55,496515960.46575344,14.542465753424658,
1993-03-01,1469000000.0,103.19217830136986,19.03,501077142.82191783,14.580821917808219,
1993-04-01,1469000000.0,103.46999520547945,18.98,506127023.2876712,14.623287671232877,
1993-05-01,1469000000.0,103.7388502739726,18.73409836065574,511014004.3835617,14.664383561643836,
1993-06-01,1469000000.0,104.0166671780822,18.48,516063884.84931505,14.706849315068492,
1993-07-01,1469000000.0,104.28552224657534,16.98,520950865.94520545,14.747945205479452,
1993-08-01,1469000000.0,104.56333915068494,16.765,526000746.4109589,14.79041095890411,
1993-09-01,1469000000.0,104.84115605479452,16.55,531050626.8767123,14.832876712328767,
1993-10-01,1469000000.0,105.11001112328768,17.08,535937607.9726027,14.873972602739727,
1993-11-01,1469000000.0,105.38782802739726,15.83,540987488.4383562,14.916438356164383,
