lags_1,lags_2,lags_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_3,roll_std_6,roll_std_12,growth_yoy,month_sin,month_cos,quarter,year,saison_1,saison_2,saison_3,is_summer,is_high_season,is_vacances,jours_feries_count,is_ramadan,is_special_event,Oil_price_lag1,FDI_lag1,Poverty_rate_lag1,REER_lag1,Oil_price_lag3,FDI_lag3,Poverty_rate_lag3,REER_lag3,is_covid,cdm_event,anomaly_zscore,anomaly_iforest,anomaly_prophet
218641.7393509109,231475.47264366,249297.7160497052,218011.5310777037,227327.69834480702,261343.20684248014,13789.850337257885,19778.73777529609,69393.308794932,5.083244023845934,0.8660254037844387,-0.4999999999999998,2,1998,1,0,0,0,1,0,0,0,0,14.81909090909091,392485991.6712329,16.2,112.25842231232878,16.910909090909094,308712160.0,16.2,112.25884,0,0,0,0,0
266123.16896139964,218641.7393509109,236840.6176142056,238746.7936519902,229151.87769956153,262745.3279184547,24561.669759375072,23088.831175405005,69297.7155781657,6.749140416649374,0.49999999999999994,-0.8660254037844387,2,1998,1,0,0,0,1,0,1,0,0,13.72,436502750.6849315,16.2,112.25820284931508,15.811818181818182,352728919.01369864,16.2,112.25862053698631,0,0,0,0,0
246630.92998304215,266123.16896139964,285377.1660646653,243798.61276511755,235098.63298035637,263561.1872825244,23867.091466728278,22034.112876841315,69022.09100565777,4.133713409236324,1.2246467991473532e-16,-1.0,2,1998,0,1,0,1,0,0,0,0,0,14.6,479099614.24657536,16.2,112.25799046575342,14.81909090909091,392485991.6712329,16.2,112.25842231232878,0,0,0,0,0
282686.0062791014,246630.92998304215,462108.9739342943,265146.7017411811,241579.11640944236,263336.9239670608,18047.361243483385,29544.27494648069,68949.097006243,-0.9430186103095848,-0.4999999999999997,-0.8660254037844388,3,1998,0,1,0,1,1,1,1,0,0,13.66,523116373.26027393,16.2,112.25777100273972,13.72,436502750.6849315,16.2,112.25820284931508,0,0,0,1,1
478637.5325608809,282686.0062791014,303292.96221753047,335984.82294100814,287365.80829649913,264714.30385260965,124849.26432741777,96502.93296988436,73308.20112017913,3.576766424998427,-0.8660254037844385,-0.5000000000000004,3,1998,0,1,0,1,1,1,3,0,0,11.93,565713236.8219178,16.2,112.25755861917808,14.6,479099614.24657536,16.2,112.25799046575342,0,0,0,0,0
361714.4091168863,478637.5325608809,235234.856160519,374345.98265228956,309072.2977087035,269582.7577608893,98584.57105716341,96063.55717742223,77899.29471311135,19.262381320096146,-1.0,-1.8369701987210297e-16,3,1998,0,0,1,0,0,0,0,0,0,12.02,609729995.8356164,16.2,112.25733915616438,13.66,523116373.26027393,16.2,112.25777100273972,0,0,0,0,0
223923.6549377964,361714.4091168863,255178.09283287264,354758.5322051879,309952.61697318446,268640.15765899577,127499.32561058862,95088.37026332955,78419.39386264895,-4.808471587647743,-0.8660254037844386,0.5000000000000001,4,1998,0,0,1,0,1,0,0,0,0,12.11,653746754.849315,16.2,112.25711969315068,11.93,565713236.8219178,16.2,112.25755861917808,0,0,0,0,0
249700.781115634,223923.6549377964,210950.39829827312,278446.28172343894,307215.5523322235,268183.7150158925,73255.03967786508,96822.83291742185,78520.74849563885,-2.1464662802484336,-0.5000000000000004,0.8660254037844384,4,1998,0,0,1,0,0,0,2,0,0,14.46,696343618.4109589,16.2,112.25690730958904,12.02,609729995.8356164,16.2,112.25733915616438,0,0,0,0,0
222988.07270206616,249700.781115634,243803.10570458535,232204.16958516554,303275.0761187275,269186.85454954195,15159.729213151542,100203.70513478614,77796.64953175942,5.706400414931843,-2.4492935982947064e-16,1.0,4,1998,0,0,0,0,1,1,0,1,0,12.127377049180328,740360377.4246576,16.2,112.25668784657532,12.11,653746754.849315,16.2,112.25711969315068,0,0,0,0,0
251305.272716646,222988.07270206616,203917.3812385401,241331.3755114487,298044.9538583183,269812.03513388033,15906.010398336397,102290.50611795102,77604.02491688628,3.0771416920139525,0.49999999999999994,0.8660254037844387,1,1999,0,0,0,0,0,0,2,0,0,9.87,782957240.9863014,16.2,112.25647546301369,14.46,696343618.4109589,16.2,112.25690730958904,0,0,0,0,0
